team_id,1_player,2_player,3_player,4_player,5_player,prpg!,dprpg,bpm,obpm,dbpm
2018 Bucknell,Stephen Brown,Kimbal Mackenzie,Avi Toomer,Zach Thomas,Nana Foulland,11.6,13.3,12.5,8.8,7.8
2016 Fresno St.,Marvelle Harris,Cezar Guerrero,Julien Lewis,Karachi Edo,Cullen Russo,10.4,14.6,12.2,6.7,8.3
2017 New Mexico St.,Ian Baker,Braxton Huggins,Matt Taylor,Eli Chuha,Johnathon Wilkins,11.3,12.3,12.2,8.9,7.5
2016 Notre Dame,Demetrius Jackson,Matt Farrell,Steve Vasturia,V.J. Beachem,Zach Auguste,15.1,13.5,12.2,13.5,3
2015 Wofford,Karl Cochran,Eric Garcia,Spencer Collins,Lee Skinner,CJ Neumann,9.2,15.5,12.1,7,4.7
2024 Morehead St.,Drew Thelwell,Kalil Thomas,Jordan Lathon,Eddie Ricks III,Riley Minix,13.1,15.2,12.1,9.7,-0.1
2015 Wyoming,Josh Adams,Riley Grabau,Charles Hankerson Jr.,Larry Nance Jr.,Derek Cooke Jr.,10.4,18.1,12,5.5,7.5
2024 Vermont,Aaron Deloney,TJ Long,Shamir Bogues,Ileri Ayo-Faleye,Nick Fiorillo,9.1,14,11.9,3.5,4.7
2022 Michigan,Frankie Collins,Eli Brooks,Caleb Houstan,Moussa Diabate,Hunter Dickinson,14.4,14.4,11.5,10.3,7.3
2015 Georgia St.,Ryann Green,Kevin Ware,R.J. Hunter,Markus Crider,Curtis Washington,9.3,14.6,11.4,4.7,6.9
2018 Stephen F. Austin,Ivan Canete,Ty Charles,Kevon Harris,Leon Gilmore III,TJ Holyfield,7.8,13.7,11.2,5.2,4.5
2020 Arizona St.,Remy Martin,Rob Edwards,Mickey Mitchell,Kimani Lawrence,Romello White,8.3,14.8,11.2,3.2,5.3
2020 Hofstra,Desure Buie,Jalen Ray,Eli Pemberton,Tareq Coburn,Isaac Kante,15.2,14.8,11,10.4,1.8
2020 Texas,Matt Coleman III,Courtney Ramey,Andrew Jones,Royce Hamm Jr.,Kai Jones,7.8,14.7,11,-0.6,3.9
2016 Temple,Josh Brown,Quenton DeCosey,Daniel Dingle,Obi Enechionyia,Jaylen Bond,9.1,16.1,10.9,2.7,9
2023 Grand Canyon,Rayshon Harrison,Chance McMillian,Walter Ellis,Noah Baumann,Gabe McGlothan,13.9,10.9,10.9,13,1.5
2016 Cal St. Bakersfield,Dedrick Basile,Brent Wrapp,Jaylin Airington,Kevin Mays,Aly Ahmed,7.8,16.1,10.7,3.3,9.6
